2,43137	0,01717
2,42661	0,01706
2,42188	0,01697
2,41715	0,02503
2,41245	0,03179
2,40777	0,03931
2,4031	0,04762
2,39845	0,05756
2,39382	0,06897
2,38921	0,07878
2,38462	0,08958
2,38004	0,09973
2,37548	0,11386
2,37094	0,12968
2,36641	0,1453
2,3619	0,16134
2,35741	0,17925
2,35294	0,19608
2,34848	0,21365
2,34405	0,23302
2,33962	0,2533
2,33522	0,26958
2,33083	0,29037
2,32645	0,31241
2,3221	0,33524
2,31776	0,35755
2,31343	0,37986
2,30912	0,40465
2,30483	0,42819
2,30056	0,44901
2,2963	0,46406
2,29205	0,48485
2,28782	0,5087
2,28361	0,5306
2,27941	0,55508
2,27523	0,58014
2,27106	0,59941
2,26691	0,60976
2,26277	0,62286
2,25865	0,63973
2,25455	0,66241
2,25045	0,68381
2,24638	0,7027
2,24231	0,71436
2,23827	0,72751
2,23423	0,73906
2,23022	0,75508
2,22621	0,7756
2,22222	0,79425
2,21825	0,80421
2,21429	0,8144
2,21034	0,82546
2,20641	0,83357
2,20249	0,84401
2,19858	0,85518
2,19469	0,86718
2,19081	0,87539
2,18695	0,8792
2,1831	0,88626
2,17926	0,89465
2,17544	0,89613
2,17163	0,89962
2,16783	0,90532
2,16405	0,91461
2,16028	0,91229
2,15652	0,91773
2,15278	0,91525
2,14905	0,91563
2,14533	0,91958
2,14162	0,91426
2,13793	0,91826
2,13425	0,92219
2,13058	0,91956
2,12693	0,91845
2,12329	0,91894
2,11966	0,9156
2,11604	0,9068
2,11244	0,90066
2,10884	0,89459
2,10526	0,88235
2,10169	0,87262
2,09814	0,86298
2,09459	0,85872
2,09106	0,84327
2,08754	0,83507
2,08403	0,82692
2,08054	0,81869
2,07705	0,80837
2,07358	0,80097
2,07012	0,78806
2,06667	0,77538
2,06323	0,7627
2,0598	0,75029
2,05638	0,73629
2,05298	0,72272
2,04959	0,71341
2,0462	0,69612
2,04283	0,68344
2,03947	0,66821
2,03612	0,65483
2,03279	0,64225
2,02946	0,62764
2,02614	0,61291
2,02284	0,59622
2,01954	0,58013
2,01626	0,56574
2,01299	0,55195
2,00972	0,53563
2,00647	0,52071
2,00323	0,50525
2	0,49022
1,99678	0,4763
1,99357	0,46165
1,99037	0,44201
